,v12,v50,v55,v20,v24,v97,v99,v42,v53,v9,v68_t,v70_t,v28_t,v84_t,v44_t,classlabel_yes.,v95_f,v95_nan,v95_t,v7_b,v85_p,v33_ff,v33_bb,v33_v,v33_h,v99_ff,v76_p,v76_s
0,0.06270676691729324,0.14583333333333331,0.21408840339270432,0.03333333333333333,0.0625,0.4259818731117824,0.0,0.20373635232101522,0.0025,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0.04766917293233083,0.024166666666666663,0.36620032531669705,0.02,0.0,0.5211480362537765,0.5714285714285714,0.3874895017853963,0.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
2,0.26315789473684215,0.0,0.23436999298257,0.07333333333333333,0.0625,0.48942598187311176,0.7142857142857142,0.22823677224959937,0.0095,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
3,0.517593984962406,0.027916666666666666,0.11268045544337583,0.08666666666666666,0.0,0.6359516616314199,0.42857142857142855,0.08123425267809449,0.06,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0.2793984962406014,0.041666666666666664,0.40676350449642845,0.2333333333333333,0.0,0.5196374622356495,0.5714285714285714,0.4364903416425646,0.0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
5,0.3169924812030075,0.041666666666666664,0.3154963513420328,0.08,0.0,0.5498489425981873,0.42857142857142855,0.32623845196393597,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6,0.1867669172932331,0.0,0.4625378758685591,0.13333333333333333,0.0,0.41389728096676737,0.9285714285714285,0.503866496446171,0.0005,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0.11157894736842108,0.020833333333333332,0.46760827326602555,0.06,0.0,0.6087613293051359,0.0,0.5099916014283171,0.10200000000000001,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
8,0.2281203007518797,0.024166666666666663,0.3915523123040292,0.02666666666666667,0.0,0.3761329305135952,0.0,0.4181150266961265,0.07,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
9,0.06646616541353387,0.09041666666666666,0.5183122472406898,0.6866666666666666,0.0,0.4471299093655589,0.0,0.5712426512497775,0.006500000000000001,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
10,0.16541353383458643,0.125,0.46760827326602555,0.9133333333333332,0.0,0.5151057401812689,0.07142857142857142,0.5099916014283171,0.0005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,0.2706766917293233,0.0,0.3154963513420328,0.19999999999999998,0.0,0.5166163141993957,0.9285714285714285,0.32623845196393597,0.01,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12,0.06646616541353387,0.01375,0.5436642342280219,0.6666666666666666,0.0,0.4712990936555891,0.07142857142857142,0.6018681761605076,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
13,0.06766917293233085,0.08333333333333333,0.26479237736736855,0.6666666666666666,0.0625,0.6132930513595165,0.14285714285714285,0.26498740214247557,0.0005,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14,0.057593984962406,0.01375,0.26479237736736855,0.6666666666666666,0.0625,0.5196374622356495,0.14285714285714285,0.26498740214247557,0.0005,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
